"","logFC","gene_id","direction"
"IRF6",2.72952258646232,"IRF6","up"
"CAV1",2.72586873143312,"CAV1","up"
"ENSG00000261628",-2.69993397272949,"ENSG00000261628","down"
"PTGFR",2.69728224946211,"PTGFR","up"
"ENSG00000290092",2.69122512398071,"ENSG00000290092","up"
"CYS1",2.68943616599893,"CYS1","up"
"STC2",2.68690310368211,"STC2","up"
"HERC2P10",-2.67840081117985,"HERC2P10","down"
"SPATA31A6",-2.67840081117985,"SPATA31A6","down"
"ENSG00000227034",-2.67840081117985,"ENSG00000227034","down"
"ENSG00000298080",-2.67840081117985,"ENSG00000298080","down"
"TMEM14B-DT",-2.67840081117985,"TMEM14B-DT","down"
"SDK1-AS1",-2.67840081117985,"SDK1-AS1","down"
"ENSG00000286113",-2.67840081117985,"ENSG00000286113","down"
"ENSG00000293324",-2.67840081117985,"ENSG00000293324","down"
"ENSG00000301605",-2.67840081117985,"ENSG00000301605","down"
"ENSG00000280311",-2.67840081117985,"ENSG00000280311","down"
"ENSG00000285805",-2.67840081117985,"ENSG00000285805","down"
"RPH3AL-AS2",-2.67840081117985,"RPH3AL-AS2","down"
"ENSG00000287335",-2.67840081117985,"ENSG00000287335","down"
"CECR3",-2.67840081117985,"CECR3","down"
"ENSG00000236491",-2.67840081117985,"ENSG00000236491","down"
"ENSG00000237741",-2.67840081117985,"ENSG00000237741","down"
"NXPH4",2.67716742545171,"NXPH4","up"
"ENSG00000288597",2.67300282221348,"ENSG00000288597","up"
"ZNF506",2.6722123662383,"ZNF506","up"
"KCNIP2-AS1",2.66906237581465,"KCNIP2-AS1","up"
"PCK2",2.66725245925046,"PCK2","up"
"KLF5",2.66342684114522,"KLF5","up"
"EIPR1-IT1",-2.64770401395693,"EIPR1-IT1","down"
"LINC02973",-2.64770401395693,"LINC02973","down"
"FAM90A2P",-2.64770401395693,"FAM90A2P","down"
"FCN3",2.64752921426501,"FCN3","up"
"PDCL3P6",2.64752921426501,"PDCL3P6","up"
"ENSG00000287676",2.64752921426501,"ENSG00000287676","up"
"ENSG00000203635",2.64752921426501,"ENSG00000203635","up"
"KRT18P29",2.64752921426501,"KRT18P29","up"
"ENSG00000287154",2.64752921426501,"ENSG00000287154","up"
"ENSG00000287815",2.64752921426501,"ENSG00000287815","up"
"CHILL1",2.64752921426501,"CHILL1","up"
"IER5L-AS1",2.64752921426501,"IER5L-AS1","up"
"ENSG00000297007",2.64752921426501,"ENSG00000297007","up"
"ACRV1",2.64752921426501,"ACRV1","up"
"EID3",2.64752921426501,"EID3","up"
"ENSG00000288928",2.64752921426501,"ENSG00000288928","up"
"ENSG00000260037",2.64752921426501,"ENSG00000260037","up"
"ENSG00000297350",2.64752921426501,"ENSG00000297350","up"
"LUNAR1",2.64752921426501,"LUNAR1","up"
"KIF1C-AS1",2.64752921426501,"KIF1C-AS1","up"
"ENSG00000228629",2.64752921426501,"ENSG00000228629","up"
"ENSG00000278276",2.64752921426501,"ENSG00000278276","up"
"KLC3",2.64466103232452,"KLC3","up"
"ENSG00000251143",-2.63434563110191,"ENSG00000251143","down"
"ENSG00000290399",2.63365703968345,"ENSG00000290399","up"
"PAPLN",-2.6283351756817,"PAPLN","down"
