""	logFC	AveExpr	t	P.Value	adj.P.Val	B
SMIM10L1	-4.66187788662406	4.87627359920266	-19.4628576306205	1.14856711962624e-06	6.10289258118715e-06	6.35846037517279
PDE12	-4.4886638599537	4.80403030366857	-19.4569015012295	1.15065705039073e-06	6.11269737337059e-06	6.35021755103308
GTF2IP4	-5.74939730632707	5.7348415802717	-19.4497010692573	1.15318950296527e-06	6.12484832952474e-06	6.41255695513868
PSAP	-8.85138012566697	9.13883823180143	-19.4486119927799	1.15357310479773e-06	6.12558351759116e-06	6.4844827423309
EEIG2	-5.32912921851622	5.3025386934802	-19.4457116609391	1.15459540369675e-06	6.12970921503601e-06	6.38683462204682
RTTN	-4.63571142815098	4.64572570054347	-19.4424267403011	1.15575453466071e-06	6.13455944209967e-06	6.33070483397783
MAN1A1	-4.70482745258898	3.91572214629612	-19.4374158642537	1.15752530304857e-06	6.14265339238859e-06	6.23245322856856
EIF6	-6.27686572370547	6.42373070488467	-19.4358741117299	1.15807077028173e-06	6.14379620472717e-06	6.43564371729765
MOB4	-7.1974722274569	6.56176848143427	-19.4354172224049	1.1582324737538e-06	6.14379620472717e-06	6.43966250126331
NAPA	-4.77770589744325	5.10154978157275	-19.4341538372461	1.15867975115818e-06	6.14486412713561e-06	6.36947870012109
TRIB1	-7.3251846374134	6.20424822419641	-19.4276566977704	1.16098311673238e-06	6.1556713732615e-06	6.4260117480873
CTH	-4.86528942152193	4.80112883726536	-19.4270165731674	1.16121034190608e-06	6.1556713732615e-06	6.34211492356934
PEX2	-4.65694047040751	4.88680427913022	-19.4250342436213	1.1619143382383e-06	6.15809669633979e-06	6.34943713666317
GLDCP1	-5.56375613862258	5.19788658413075	-19.4221442956389	1.16294155250618e-06	6.16138330165894e-06	6.37336891523863
ZBTB5	-4.55999369831817	4.53540774468436	-19.4207023613307	1.16345447438384e-06	6.16138330165894e-06	6.31306095882552
SUFU	-4.41835350971897	4.81756418915036	-19.4205161744845	1.16352072357211e-06	6.16138330165894e-06	6.34195754964656
CLSPN	-5.57370847971574	5.47478971890881	-19.4198566778185	1.16375542164759e-06	6.16138330165894e-06	6.39055261454249
DPY30	-6.43108824620049	5.93798657928789	-19.4198226768054	1.16376752323601e-06	6.16138330165894e-06	6.4135492620382
ZKSCAN2	-5.30577152840325	4.79386198114085	-19.4184294239612	1.16426353362307e-06	6.16142334246792e-06	6.33917028523151
